SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
BSRPL1BT2,Tenaja,L1,B,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,5.495309515,243.546896,194.8786386,339,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,510420.2112,-0.838969291,2.092531878
BSRPL1CT1,Tenaja,L1,C,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.813437901,334.768049,252.5494864,479,69.5,4.4,64.9,30.9,6,114.5,23.8,2.1,13.9,6.7,387351.5852,-0.9028797,2.110805255
BSRPL1CT2,Tenaja,L1,C,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,6.018551595,410.9828948,317.338123,577,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,512562.6554,-0.9028797,2.110805255
BSRPL1DT1,Tenaja,L1,D,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.879445805,357.6110005,273.0936961,502,91,5,83.4,51.9,6.2,430.3,19.7,1.8,15,11.3,375707.4183,-4.760419831,0.652669189
BSRPL1DT2,Tenaja,L1,D,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,5.922965169,373.5176162,260.6653959,553,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,362598.4915,-4.760419831,0.652669189
BSRPL1ET1,Tenaja,L1,E,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.700603961,299.0479596,238.1355748,411,67,5.3,62.1,38.4,6.3,190.6,36.2,1.8,17.5,9.4,535866.0014,-2.398641485,-0.120484914
BSRPL1ET2,Tenaja,L1,E,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,5.793991519,328.3209116,243.463114,466,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,439589.8955,-2.398641485,-0.120484914
BSRPL1p5AT1,Tenaja,L1.5,A,1st Postfire,Bacteria,Unburned,5-Nov-19,2 Months,5.634741915,279.9866476,215.7125988,394,0,5.6,14.6,10,5.5,134.8,24.8,2.7,10.3,8.4,544106.5917,1.282895777,1.432042774
BSRPL1p5AT2,Tenaja,L1.5,A,Nov,Bacteria,Unburned,19-Nov-19,2.5 Months,6.199742894,492.6223687,348.5340602,711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,532465.0332,1.282895777,1.432042774
BSRPL2AT1,Tenaja,L2,A,1st Postfire,Bacteria,Unburned,5-Nov-19,2 Months,5.653711397,285.3485446,145.8744803,461,0,5.4,11.9,8.1,6.1,146.6,37.3,2.3,16.5,8.5,598103.3653,0.036321438,-0.134019692
BSRPL2AT2,Tenaja,L2,A,Nov,Bacteria,Unburned,19-Nov-19,2.5 Months,5.830433105,340.5061222,222.9170207,513,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,491693.9345,0.036321438,-0.134019692
BSRPL2BT1,Tenaja,L2,B,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.351900404,211.0089192,75.1043865,409,80,6.7,24.3,12.8,6,223.8,37.2,2.4,15.9,9.8,574580.1369,-0.46173447,-1.063635938
BSRPL2BT2,Tenaja,L2,B,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,5.86213338,351.4731707,247.5865234,515,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,606615.9762,-0.46173447,-1.063635938
BSRPL2CT1,Tenaja,L2,C,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.713650319,302.9750077,197.885346,461,45,6.3,16.3,9.8,6.2,169.4,59.3,2.2,18.6,11.5,585460.1624,-0.068577528,-2.516905581
BSRPL2CT2,Tenaja,L2,C,Nov,Bacteria,Burned,19-Nov-19,2.5 Months,5.523957334,250.6248837,110.4049224,420,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,535922.0387,-0.068577528,-2.516905581
BSRPL2DT1,Tenaja,L2,D,1st Postfire,Bacteria,Burned,5-Nov-19,2 Months,5.688239782,295.3732415,221.3376485,431,91.5,6.2,39.9,22.1,6,253.1,48.3,2.2,14.8,11.7,488480.97,-0.845734752,-1.330318808
